Display_Name,Player_Name,Nationality,Auction_Role,Season,Franchise,OVR,Career_OVR,Tier,Auction_Set,Base_Price_Cr,Status,Seasons_Played,Is_Wicketkeeper,Batting_Strike_Rate,Batting_Runs,Bowling_Economy,Bowling_Wickets
Heinrich Klaasen,H Klaasen,Overseas,Wicketkeeper,2026,SRH,86,91,A,Wicketkeepers - A,1.5,Capped,6,1,160.0,624,0.0,0
Jaydev Unadkat,JD Unadkat,Indian,Bowler,2017,RPS,86,90,A,Bowlers - A,1.5,Capped,17,0,40.0,2,7.03,24
Mitchell Marsh,MR Marsh,Overseas,Batter,2025,LSG,86,90,A,Batters - A,1.5,Capped,10,0,163.71,627,0.0,0
Rishabh Pant,RR Pant,Indian,Wicketkeeper,2018,DC,86,90,A,Wicketkeepers - A,1.5,Capped,10,1,173.6,684,0.0,0
Shreyas Iyer,SS Iyer,Indian,Batter,2025,PBKS,86,90,A,Batters - A,1.5,Capped,11,0,175.07,604,0.0,0
Shaun Marsh,SE Marsh,Overseas,Batter,2008,PBKS,85,90,A,Batters - A,1.5,Capped,9,0,139.68,616,0.0,0
Yashasvi Jaiswal,YBK Jaiswal,Indian,Batter,2025,RR,85,90,A,Batters - A,1.5,Capped,7,0,159.71,559,0.0,0
Mohit Sharma,MM Sharma,Indian,Bowler,2013,CSK,85,90,A,Bowlers - A,1.5,Capped,11,0,0.0,0,6.43,20
Dinesh Karthik,KD Karthik,Indian,Wicketkeeper,2018,KKR,85,90,A,Wicketkeepers - A,1.5,Capped,17,1,147.77,498,0.0,0
Ishan Kishan,Ishan Kishan,Indian,Wicketkeeper,2026,SRH,85,90,A,Wicketkeepers - A,1.5,Capped,11,1,182.42,602,0.0,0
Kane Williamson,KS Williamson,Overseas,Batter,2018,SRH,85,90,A,Batters - A,1.5,Capped,10,0,142.44,735,0.0,0
Glenn Maxwell,GJ Maxwell,Overseas,Batter,2021,RCB,85,90,A,Batters - A,1.5,Capped,13,0,144.1,513,8.44,3
Robin Uthappa,RV Uthappa,Indian,Wicketkeeper,2014,KKR,85,90,A,Wicketkeepers - A,1.5,Capped,15,1,137.79,660,0.0,0
Ruturaj Gaikwad,RD Gaikwad,Indian,Batter,2023,CSK,85,89,A,Batters - A,1.5,Capped,7,0,147.5,590,0.0,0
Hardik Pandya,HH Pandya,Indian,All-Rounder,2022,GT,85,89,A,All-Rounders - A,1.5,Capped,12,0,131.27,487,7.28,8
Harshal Patel,HV Patel,Indian,Bowler,2021,RCB,85,89,A,Bowlers - A,1.5,Capped,14,0,128.26,59,8.15,32
Jofra Archer,JC Archer,Overseas,Bowler,2020,RR,84,89,A,Bowlers - A,1.0,Capped,6,0,179.37,113,6.56,20
Yuzvendra Chahal,YS Chahal,Indian,Bowler,2020,RCB,84,89,A,Bowlers - A,1.0,Capped,14,0,33.33,1,7.08,21
Vaibhav Sooryavanshi,V Suryavanshi,Indian,Batter,2026,RR,84,89,A,Batters - A,1.0,Capped,2,0,237.31,776,0.0,0
Ajinkya Rahane,AM Rahane,Indian,Batter,2015,RR,84,89,A,Batters - A,1.0,Capped,18,0,130.75,540,0.0,0
Krunal Pandya,KH Pandya,Indian,All-Rounder,2018,MI,84,89,A,All-Rounders - A,1.0,Capped,11,0,145.22,228,7.07,12
Ashish Nehra,A Nehra,Indian,Bowler,2009,DC,84,89,A,Bowlers - A,1.0,Capped,9,0,100.0,1,6.78,19
Pragyan Ojha,PP Ojha,Indian,Bowler,2009,DCH,84,89,A,Bowlers - A,1.0,Capped,8,0,14.29,1,6.5,18
Shikhar Dhawan,S Dhawan,Indian,Batter,2012,DCH,84,89,A,Batters - A,1.0,Capped,17,0,129.61,569,9.17,3
Gautam Gambhir,G Gambhir,Indian,Batter,2008,DC,84,89,A,Batters - A,1.0,Capped,11,0,140.9,534,0.0,0
Chris Morris,CH Morris,Overseas,All-Rounder,2016,DC,84,89,A,All-Rounders - A,1.0,Capped,8,0,178.9,195,7.0,13
Varun Chakravarthy,CV Varun,Indian,Bowler,2021,KKR,84,89,A,Bowlers - A,1.0,Capped,8,0,50.0,2,6.59,18
Abhishek Sharma,Abhishek Sharma,Indian,Batter,2024,SRH,84,88,A,Batters - A,1.0,Capped,9,0,204.22,484,7.29,2
Ambati Rayudu,AT Rayudu,Indian,Wicketkeeper,2018,CSK,84,88,A,Wicketkeepers - A,1.0,Capped,14,1,149.75,602,0.0,0
Irfan Pathan,IK Pathan,Indian,All-Rounder,2008,PBKS,84,88,A,All-Rounders - A,1.0,Capped,9,0,112.93,131,6.6,15
Shivam Dube,S Dube,Indian,Batter,2023,CSK,84,88,A,Batters - A,1.0,Capped,8,0,158.33,418,0.0,0
Rahul Tewatia,R Tewatia,Indian,All-Rounder,2020,RR,84,88,A,All-Rounders - A,1.0,Capped,12,0,139.34,255,7.09,10
Sanju Samson,SV Samson,Indian,Wicketkeeper,2024,RR,84,88,A,Wicketkeepers - A,1.0,Capped,14,1,153.47,531,0.0,0
David Miller,DA Miller,Overseas,Batter,2014,PBKS,84,88,A,Batters - A,1.0,Capped,15,0,149.16,446,0.0,0
Rajat Patidar,RM Patidar,Indian,Batter,2026,RCB,84,88,A,Batters - A,1.0,Capped,5,0,192.69,501,0.0,0
Quinton de Kock,Q de Kock,Overseas,Wicketkeeper,2016,DC,84,88,A,Wicketkeepers - A,1.0,Capped,13,1,136.09,445,0.0,0
Riyan Parag,R Parag,Indian,Batter,2024,RR,84,88,A,Batters - A,1.0,Capped,8,0,149.22,573,9.0,0
P Simran Singh,P Simran Singh,Indian,Wicketkeeper,2026,PBKS,84,88,A,Wicketkeepers - A,1.0,Capped,8,1,168.87,510,0.0,0
Kagiso Rabada,K Rabada,Overseas,Bowler,2019,DC,84,88,A,Bowlers - A,1.0,Capped,9,0,93.33,14,7.81,26
Jean-Paul Duminy,JP Duminy,Overseas,All-Rounder,2009,MI,83,88,B,All-Rounders - B,1.0,Capped,8,0,114.46,372,5.31,4
Kieron Pollard,KA Pollard,Overseas,All-Rounder,2010,MI,83,88,B,All-Rounders - B,1.0,Capped,13,0,185.71,273,7.41,15
Morne Morkel,M Morkel,Overseas,Bowler,2012,DC,83,88,B,Bowlers - B,1.0,Capped,8,0,60.0,3,7.19,25
Imran Tahir,Imran Tahir,Overseas,Bowler,2019,CSK,83,88,B,Bowlers - B,1.0,Capped,8,0,0.0,0,6.7,26
Rinku Singh,RK Singh,Indian,Batter,2023,KKR,83,88,B,Batters - B,1.0,Capped,8,0,149.53,474,0.0,0
Sandeep Sharma,Sandeep Sharma,Indian,Bowler,2020,SRH,83,87,B,Bowlers - B,1.0,Capped,14,0,80.0,12,7.19,14
